user_sequence,challenge
16862_12,CI26218
16862_13,CI26217
16866_11,CI23855
16866_12,CI23663
16866_13,CI23714
16867_11,CI27671
16867_12,CI27678
16867_13,CI27675
16871_11,CI23663
16871_12,CI23714
16871_13,CI24958
16875_11,CI24868
16875_12,CI24690
16875_13,CI24534
16880_11,CI27670
16880_12,CI27678
16880_13,CI27675
16883_11,CI27667
16883_12,CI27681
16883_13,CI27671
16884_11,CI24917
16884_12,CI23714
16884_13,CI23510
16885_11,CI27490
16885_12,CI25966
16885_13,CI26498
16888_11,CI26219
16888_12,CI26216
16888_13,CI26214
16891_11,CI26055
16891_12,CI23714
16891_13,CI25126
16892_11,CI24418
16892_12,CI24440
16892_13,CI25135
16896_11,CI26214
16896_12,CI26216
16896_13,CI26219
16898_11,CI26203
16898_12,CI26202
16898_13,CI26204
16899_11,CI25135
16899_12,CI25125
16899_13,CI24968
16900_11,CI25107
16900_12,CI25108
16900_13,CI25110
16902_11,CI27045
16902_12,CI27043
16902_13,CI27042
16904_11,CI25053
16904_12,CI24928
16904_13,CI25052
16911_11,CI25075
16911_12,CI24532
16911_13,CI24876
16912_11,CI27671
16912_12,CI27678
16912_13,CI27673
16920_11,CI24937
16920_12,CI24928
16920_13,CI24929
16921_11,CI28581
16921_12,CI28586
16921_13,CI28585
16923_11,CI27678
16923_12,CI27681
16923_13,CI27679
16927_11,CI24876
16927_12,CI24228
16927_13,CI25057
16932_11,CI23848
16932_12,CI25075
16932_13,CI24530
16933_11,CI23714
16933_12,CI23848
16933_13,CI24953
16937_11,CI27678
16937_12,CI27681
16937_13,CI27677
16938_11,CI28586
16938_12,CI28581
16938_13,CI28572
16939_11,CI27676
16939_12,CI27677
16939_13,CI27680
16940_11,CI26215
16940_12,CI26214
16940_13,CI26904
16942_11,CI28581
16942_12,CI28578
16942_13,CI28582
16943_11,CI27675
16943_12,CI27681
16943_13,CI27674
16946_11,CI27790
16946_12,CI27789
16946_13,CI27791
16950_11,CI24438
16950_12,CI24374
16950_13,CI24679
16959_11,CI24532
16959_12,CI24527
16959_13,CI24868
16960_11,CI27667
16960_12,CI27665
16960_13,CI27666
16963_11,CI24968
16963_12,CI25135
16963_13,CI24876
16965_11,CI26931
16965_12,CI26929
16965_13,CI26924
16968_11,CI24531
16968_12,CI24534
16968_13,CI25075
16970_11,CI26931
16970_12,CI26929
16970_13,CI26924
16971_11,CI25119
16971_12,CI26621
16971_13,CI25777
16974_11,CI24604
16974_12,CI24634
16974_13,CI24448
16978_11,CI23714
16978_12,CI23848
16978_13,CI23663
16980_11,CI24871
16980_12,CI25135
16980_13,CI24876
16982_11,CI24534
16982_12,CI25135
16982_13,CI23691
16985_11,CI25075
16985_12,CI23770
16985_13,CI23702
16986_11,CI26910
16986_12,CI26219
16986_13,CI26905
16988_11,CI26920
16988_12,CI26926
16988_13,CI26915
16998_11,CI23855
16998_12,CI23714
16998_13,CI23663
17005_11,CI24972
17005_12,CI24962
17005_13,CI24970
17006_11,CI24958
17006_12,CI25126
17006_13,CI23663
17009_11,CI23855
17009_12,CI25135
17009_13,CI24958
17015_11,CI28581
17015_12,CI28584
17015_13,CI28569
17018_11,CI24876
17018_12,CI24868
17018_13,CI24915
17020_11,CI27681
17020_12,CI27675
17020_13,CI27677
17021_11,CI26903
17021_12,CI26904
17021_13,CI26216
17023_11,CI24228
17023_12,CI23769
17023_13,CI23663
17025_11,CI24534
17025_12,CI24868
17025_13,CI23648
17029_11,CI28582
17029_12,CI28580
17029_13,CI28574
17030_11,CI23663
17030_12,CI23933
17030_13,CI24958
17035_11,CI28579
17035_12,CI28578
17035_13,CI28569
17038_11,CI23714
17038_12,CI23855
17038_13,CI24958
17040_11,CI23663
17040_12,CI25124
17040_13,CI23848
17046_11,CI24937
17046_12,CI25052
17046_13,CI24929
17047_11,CI27435
17047_12,CI27740
17047_13,CI26443
17049_11,CI27676
17049_12,CI27679
17049_13,CI27680
17050_11,CI25971
17050_12,CI26397
17050_13,CI23501
17051_11,CI24527
17051_12,CI25075
17051_13,CI24530
17052_11,CI27039
17052_12,CI27045
17052_13,CI27040
17053_11,CI23702
17053_12,CI24875
17053_13,CI24876
17055_11,CI23702
17055_12,CI23648
17055_13,CI25075
17060_11,CI26192
17060_12,CI26198
17060_13,CI26202
17061_11,CI27678
17061_12,CI27674
17061_13,CI27681
17062_11,CI25075
17062_12,CI24876
17062_13,CI25057
17063_11,CI24876
17063_12,CI23933
17063_13,CI24958
17064_11,CI24534
17064_12,CI24527
17064_13,CI25075
17065_11,CI24690
17065_12,CI24958
17065_13,CI24875
17066_11,CI26921
17066_12,CI26926
17066_13,CI26915
17071_11,CI24534
17071_12,CI23691
17071_13,CI23769
17073_11,CI26213
17073_12,CI26212
17073_13,CI26902
17074_11,CI25075
17074_12,CI24527
17074_13,CI24876
17076_11,CI24876
17076_12,CI24958
17076_13,CI24875
17078_11,CI24876
17078_12,CI24532
17078_13,CI25057
17081_11,CI26903
17081_12,CI26213
17081_13,CI26212
17082_11,CI26926
17082_12,CI26927
17082_13,CI26916
17083_11,CI28585
17083_12,CI28584
17083_13,CI28576
17084_11,CI23855
17084_12,CI28586
17084_13,CI28578
17085_11,CI26925
17085_12,CI26926
17085_13,CI26933
17086_11,CI25135
17086_12,CI24958
17086_13,CI23877
17088_11,CI24928
17088_12,CI24926
17088_13,CI25052
17092_11,CI26902
17092_12,CI26213
17092_13,CI26212
17093_11,CI28581
17093_12,CI28578
17093_13,CI28576
17096_11,CI26931
17096_12,CI26928
17096_13,CI26929
17097_11,CI25126
17097_12,CI24788
17097_13,CI25179
17098_11,CI25135
17098_12,CI24958
17098_13,CI25075
17100_11,CI26930
17100_12,CI26928
17100_13,CI26931
17102_11,CI25135
17102_12,CI23714
17102_13,CI23663
17104_11,CI27041
17104_12,CI27047
17104_13,CI27037
17114_11,CI23702
17114_12,CI23770
17114_13,CI23691
17119_11,CI25075
17119_12,CI24184
17119_13,CI24958
17125_11,CI25074
17125_12,CI24532
17125_13,CI24184
17128_11,CI26921
17128_12,CI26926
17128_13,CI26915
17130_11,CI26909
17130_12,CI26908
17130_13,CI26913
17132_11,CI23769
17132_12,CI24958
17132_13,CI25135
17133_11,CI24876
17133_12,CI24958
17133_13,CI24968
17138_11,CI23663
17138_12,CI25135
17138_13,CI23648
17139_11,CI26214
17139_12,CI26174
17139_13,CI26173
17142_11,CI24876
17142_12,CI24187
17142_13,CI25075
17144_11,CI24435
17144_12,CI24529
17144_13,CI24421
17147_11,CI26823
17147_12,CI27650
17147_13,CI27644
17149_11,CI24527
17149_12,CI24532
17149_13,CI25075
17152_11,CI26998
17152_12,CI26997
17152_13,CI27002
17153_11,CI24679
17153_12,CI24529
17153_13,CI24527
17154_11,CI24953
17154_12,CI24868
17154_13,CI24187
17155_11,CI25075
17155_12,CI24532
17155_13,CI24531
17156_11,CI25106
17156_12,CI25135
17156_13,CI25075
17157_11,CI28580
17157_12,CI28578
17157_13,CI28579
17158_11,CI25175
17158_12,CI25124
17158_13,CI25179
17162_11,CI26903
17162_12,CI26214
17162_13,CI26215
17163_11,CI28578
17163_12,CI28577
17163_13,CI28569
17164_11,CI25126
17164_12,CI23663
17164_13,CI24530
17165_11,CI25075
17165_12,CI24876
17165_13,CI24527
17166_11,CI26903
17166_12,CI26214
17166_13,CI26213
17173_11,CI26214
17173_12,CI26902
17173_13,CI26903
17178_11,CI23855
17178_12,CI24958
17178_13,CI23691
17179_11,CI27667
17179_12,CI27666
17179_13,CI27671
17180_11,CI24954
17180_12,CI24956
17180_13,CI23855
17183_11,CI23702
17183_12,CI23691
17183_13,CI24876
17184_11,CI26216
17184_12,CI26902
17184_13,CI26903
17190_11,CI23691
17190_12,CI24257
17190_13,CI25295
17191_11,CI24421
17191_12,CI24138
17191_13,CI24534
17192_11,CI26903
17192_12,CI26214
17192_13,CI26213
17193_11,CI24876
17193_12,CI23769
17193_13,CI23648
17197_11,CI25075
17197_12,CI23848
17197_13,CI23855
17199_11,CI25075
17199_12,CI24876
17199_13,CI24527
17200_11,CI26212
17200_12,CI26219
17200_13,CI26209
17208_11,CI26755
17208_12,CI23663
17208_13,CI23714
17211_11,CI23848
17211_12,CI23855
17211_13,CI24530
17212_11,CI24530
17212_12,CI23848
17212_13,CI23769
17213_11,CI24972
17213_12,CI24992
17213_13,CI24954
17215_11,CI23714
17215_12,CI23855
17215_13,CI24958
17219_11,CI24928
17219_12,CI24937
17219_13,CI24927
17226_11,CI25075
17226_12,CI23691
17226_13,CI24187
17227_11,CI25075
17227_12,CI24527
17227_13,CI24187
17230_11,CI28579
17230_12,CI28578
17230_13,CI28576
17231_11,CI27676
17231_12,CI27681
17231_13,CI27677
17232_11,CI24962
17232_12,CI24970
17232_13,CI24972
17233_11,CI27977
17233_12,CI27975
17233_13,CI27970
17236_11,CI23714
17236_12,CI23855
17236_13,CI23933
17238_11,CI24958
17238_12,CI24532
17238_13,CI24876
17239_11,CI24958
17239_12,CI25141
17239_13,CI23663
17240_11,CI24958
17240_12,CI24228
17240_13,CI23663
17248_11,CI24952
17248_12,CI24962
17248_13,CI24953
17251_11,CI24932
17251_12,CI25053
17251_13,CI25052
17257_11,CI27035
17257_12,CI27044
17257_13,CI27040
17260_11,CI25075
17260_12,CI24534
17260_13,CI24531
17265_11,CI25075
17265_12,CI25074
17265_13,CI24876
17267_11,CI27005
17267_12,CI27006
17267_13,CI27004
17275_11,CI25075
17275_12,CI24187
17275_13,CI24530
17276_11,CI24970
17276_12,CI24972
17276_13,CI24952
17277_11,CI23691
17277_12,CI25075
17277_13,CI24876
17280_11,CI27039
17280_12,CI27044
17280_13,CI27040
17284_11,CI26219
17284_12,CI26220
17284_13,CI26218
17285_11,CI27038
17285_12,CI27037
17285_13,CI27039
17286_11,CI26910
17286_12,CI26909
17286_13,CI26219
17289_11,CI24534
17289_12,CI24530
17289_13,CI24532
17290_11,CI24534
17290_12,CI24958
17290_13,CI24187
17294_11,CI24534
17294_12,CI24876
17294_13,CI24530
17299_11,CI23663
17299_12,CI26251
17299_13,CI26051
17302_11,CI25053
17302_12,CI24926
17302_13,CI24927
17303_11,CI23691
17303_12,CI24968
17303_13,CI25135
17306_11,CI27040
17306_12,CI27045
17306_13,CI27042
17314_11,CI26221
17314_12,CI26220
17314_13,CI26216
17316_11,CI26876
17316_12,CI26875
17316_13,CI26220
17317_11,CI26905
17317_12,CI26219
17317_13,CI26909
17321_11,CI27035
17321_12,CI27038
17321_13,CI27039
17322_11,CI24534
17322_12,CI23691
17322_13,CI24868
17327_11,CI25107
17327_12,CI25110
17327_13,CI24440
17328_11,CI27676
17328_12,CI27681
17328_13,CI27677
17331_11,CI26915
17331_12,CI26913
17331_13,CI26911
17332_11,CI26216
17332_12,CI26904
17332_13,CI26215
17335_11,CI28581
17335_12,CI28579
17335_13,CI28580
17336_11,CI24876
17336_12,CI23648
17336_13,CI23691
17350_11,CI24958
17350_12,CI23855
17350_13,CI24530
17352_11,CI24876
17352_12,CI24534
17352_13,CI24915
17357_11,CI27796
17357_12,CI27798
17357_13,CI27788
17361_11,CI25075
17361_12,CI24876
17361_13,CI24527
17369_11,CI23848
17369_12,CI24958
17369_13,CI23839
17371_11,CI24928
17371_12,CI24927
17371_13,CI24940
17374_11,CI25052
17374_12,CI24926
17374_13,CI24927
17375_11,CI24534
17375_12,CI23663
17375_13,CI23933
17379_11,CI26834
17379_12,CI26835
17379_13,CI26837
17380_11,CI24958
17380_12,CI25135
17380_13,CI25126
17383_11,CI23691
17383_12,CI24875
17383_13,CI24228
17385_11,CI24875
17385_12,CI24868
17385_13,CI24534
17387_11,CI26926
17387_12,CI26930
17387_13,CI26916
17392_11,CI26216
17392_12,CI26910
17392_13,CI26215
17395_11,CI26216
17395_12,CI26910
17395_13,CI26215
17397_11,CI26910
17397_12,CI26904
17397_13,CI26219
17402_11,CI26835
17402_12,CI26837
17402_13,CI26832
17405_11,CI23887
17405_12,CI24187
17405_13,CI24868
17406_11,CI27005
17406_12,CI27006
17406_13,CI27004
17410_11,CI26219
17410_12,CI26221
17410_13,CI26902
17411_11,CI28572
17411_12,CI28581
17411_13,CI28586
17412_11,CI25075
17412_12,CI24958
17412_13,CI23848
17416_11,CI26959
17416_12,CI26958
17416_13,CI26960
17422_11,CI26189
17422_12,CI26194
17422_13,CI26196
17423_11,CI23965
17423_12,CI23966
17423_13,CI23971
17425_11,CI26953
17425_12,CI26959
17425_13,CI26958
17426_11,CI26958
17426_12,CI26956
17426_13,CI26943
17429_11,CI26189
17429_12,CI26203
17429_13,CI26202
17430_11,CI27670
17430_12,CI27678
17430_13,CI27675
17431_11,CI26903
17431_12,CI26902
17431_13,CI26910
17433_11,CI26219
17433_12,CI26216
17433_13,CI26220
17435_11,CI26217
17435_12,CI26216
17435_13,CI26218
17436_11,CI25479
17436_12,CI27217
17436_13,CI24107
17441_11,CI26921
17441_12,CI26930
17441_13,CI26916
17444_11,CI26216
17444_12,CI26219
17444_13,CI26221
17451_11,CI26910
17451_12,CI26217
17451_13,CI26905
17455_11,CI25135
17455_12,CI24187
17455_13,CI23663
17464_11,CI26926
17464_12,CI26930
17464_13,CI26916
17465_11,CI26905
17465_12,CI26219
17465_13,CI26908
17470_11,CI24876
17470_12,CI23546
17470_13,CI24532
17472_11,CI27039
17472_12,CI27044
17472_13,CI27040
17475_11,CI24534
17475_12,CI24533
17475_13,CI24420
17477_11,CI25107
17477_12,CI24440
17477_13,CI25075
17480_11,CI27671
17480_12,CI27678
17480_13,CI27676
17487_11,CI24187
17487_12,CI24915
17487_13,CI23855
17488_11,CI25075
17488_12,CI24534
17488_13,CI23648
17493_11,CI27676
17493_12,CI27675
17493_13,CI27681
17495_11,CI27038
17495_12,CI27037
17495_13,CI27039
17498_11,CI26214
17498_12,CI26211
17498_13,CI26212
17499_11,CI28579
17499_12,CI28578
17499_13,CI28576
17502_11,CI24534
17502_12,CI23714
17502_13,CI25075
17503_11,CI23691
17503_12,CI24534
17503_13,CI24958
17506_11,CI26219
17506_12,CI26905
17506_13,CI26907
17508_11,CI25075
17508_12,CI24184
17508_13,CI24527
17510_11,CI24187
17510_12,CI23714
17510_13,CI23855
17511_11,CI26923
17511_12,CI26930
17511_13,CI26927
17513_11,CI26958
17513_12,CI26959
17513_13,CI26955
17515_11,CI24184
17515_12,CI24875
17515_13,CI24868
17517_11,CI24968
17517_12,CI23691
17517_13,CI23648
17518_11,CI25126
17518_12,CI23848
17518_13,CI23714
17524_11,CI27048
17524_12,CI27042
17524_13,CI27041
17527_11,CI26210
17527_12,CI26173
17527_13,CI26213
17529_11,CI24936
17529_12,CI24928
17529_13,CI24927
17535_11,CI24953
17535_12,CI23769
17535_13,CI23663
17539_11,CI26958
17539_12,CI26957
17539_13,CI26954
17540_11,CI26904
17540_12,CI26216
17540_13,CI26215
17542_11,CI26958
17542_12,CI26957
17542_13,CI26956
17546_11,CI27811
17546_12,CI27806
17546_13,CI27799
17547_11,CI25041
17547_12,CI23691
17547_13,CI25034
17548_11,CI26216
17548_12,CI26215
17548_13,CI26904
17549_11,CI27811
17549_12,CI27806
17549_13,CI27808
17558_11,CI27442
17558_12,CI26501
17558_13,CI23855
17567_11,CI27037
17567_12,CI27039
17567_13,CI27043
17569_11,CI24534
17569_12,CI24868
17569_13,CI24184
17571_11,CI26164
17571_12,CI26161
17571_13,CI26158
17573_11,CI24534
17573_12,CI25075
17573_13,CI24187
17575_11,CI28586
17575_12,CI28578
17575_13,CI28570
17579_11,CI27807
17579_12,CI27806
17579_13,CI27809
17581_11,CI26958
17581_12,CI26957
17581_13,CI26956
17590_11,CI27026
17590_12,CI27023
17590_13,CI27027
17593_11,CI23691
17593_12,CI23770
17593_13,CI25075
17598_11,CI25057
17598_12,CI24876
17598_13,CI25101
17600_11,CI25500
17600_12,CI25074
17600_13,CI25820
17601_11,CI26903
17601_12,CI26910
17601_13,CI26905
17602_11,CI23714
17602_12,CI25126
17602_13,CI23855
17603_11,CI24958
17603_12,CI24532
17603_13,CI23691
17604_11,CI27044
17604_12,CI27045
17604_13,CI27042
17606_11,CI25075
17606_12,CI24534
17606_13,CI24527
17609_11,CI23714
17609_12,CI23855
17609_13,CI23848
17612_11,CI27807
17612_12,CI27806
17612_13,CI27809
17616_11,CI26927
17616_12,CI26933
17616_13,CI26937
17620_11,CI27043
17620_12,CI27045
17620_13,CI27042
17626_11,CI26910
17626_12,CI26903
17626_13,CI26907
17627_11,CI23691
17627_12,CI24958
17627_13,CI23648
17628_11,CI24532
17628_12,CI24876
17628_13,CI23691
17630_11,CI25135
17630_12,CI23714
17630_13,CI24958
17633_11,CI25074
17633_12,CI25075
17633_13,CI24876
17635_11,CI24876
17635_12,CI24531
17635_13,CI24184
17638_11,CI24184
17638_12,CI24187
17638_13,CI24531
17640_11,CI28581
17640_12,CI28582
17640_13,CI28579
17645_11,CI27039
17645_12,CI27044
17645_13,CI27045
17647_11,CI27807
17647_12,CI27806
17647_13,CI27809
17649_11,CI27653
17649_12,CI27655
17649_13,CI27656
17650_11,CI24108
17650_12,CI23776
17650_13,CI23971
17652_11,CI27799
17652_12,CI27791
17652_13,CI27807
17653_11,CI27681
17653_12,CI27680
17653_13,CI27682
17657_11,CI26219
17657_12,CI26220
17657_13,CI26905
17658_11,CI26217
17658_12,CI26216
17658_13,CI26218
17659_11,CI28194
17659_12,CI28191
17659_13,CI28190
17661_11,CI26621
17661_12,CI25634
17661_13,CI25498
17663_11,CI25135
17663_12,CI25075
17663_13,CI25141
17664_11,CI24690
17664_12,CI23769
17664_13,CI25075
17666_11,CI26621
17666_12,CI25119
17666_13,CI25498
17667_11,CI27044
17667_12,CI27042
17667_13,CI27047
17670_11,CI24438
17670_12,CI24420
17670_13,CI24679
17672_11,CI27679
17672_12,CI27680
17672_13,CI27682
17673_11,CI27674
17673_12,CI27670
17673_13,CI27671
17674_11,CI24421
17674_12,CI24418
17674_13,CI25135
17677_11,CI27797
17677_12,CI27799
17677_13,CI27789
17679_11,CI27799
17679_12,CI27801
17679_13,CI27793
17682_11,CI25099
17682_12,CI25097
17682_13,CI25101
17690_11,CI26890
17690_12,CI26891
17690_13,CI26892
17696_11,CI26213
17696_12,CI26214
17696_13,CI26217
17698_11,CI26217
17698_12,CI26218
17698_13,CI26216
17699_11,CI24532
17699_12,CI24534
17699_13,CI24876
17703_11,CI23663
17703_12,CI23933
17703_13,CI23848
17708_11,CI27678
17708_12,CI27675
17708_13,CI27681
17709_11,CI26905
17709_12,CI26218
17709_13,CI26217
17710_11,CI26216
17710_12,CI26218
17710_13,CI26220
17713_11,CI23714
17713_12,CI23663
17713_13,CI25135
17716_11,CI26216
17716_12,CI26904
17716_13,CI26215
17717_11,CI27801
17717_12,CI27791
17717_13,CI27807
17720_11,CI24271
17720_12,CI24274
17720_13,CI24275
17721_11,CI23663
17721_12,CI23714
17721_13,CI24958
17723_11,CI27043
17723_12,CI27042
17723_13,CI27041
17725_11,CI24876
17725_12,CI23855
17725_13,CI24958
17731_11,CI24958
17731_12,CI24954
17731_13,CI23663
17732_11,CI23933
17732_12,CI23855
17732_13,CI23663
17734_11,CI25107
17734_12,CI25135
17734_13,CI25103
17736_11,CI24958
17736_12,CI23691
17736_13,CI24876
17737_11,CI27681
17737_12,CI27671
17737_13,CI27677
17738_11,CI27039
17738_12,CI27044
17738_13,CI27040
17739_11,CI23848
17739_12,CI24534
17739_13,CI23648
17740_11,CI27799
17740_12,CI27801
17740_13,CI27790
17746_11,CI26905
17746_12,CI26907
17746_13,CI26912
17747_11,CI26217
17747_12,CI26216
17747_13,CI26910
17753_11,CI27681
17753_12,CI27674
17753_13,CI27677
17757_11,CI26219
17757_12,CI26218
17757_13,CI26220
17760_11,CI27674
17760_12,CI27670
17760_13,CI27671
17764_11,CI27680
17764_12,CI27682
17764_13,CI27671
17770_11,CI24958
17770_12,CI23663
17770_13,CI25141
17771_11,CI25177
17771_12,CI25135
17771_13,CI25141
17775_11,CI23714
17775_12,CI23855
17775_13,CI25126
17777_11,CI27681
17777_12,CI27677
17777_13,CI27679
17778_11,CI24531
17778_12,CI24184
17778_13,CI24527
17781_11,CI26910
17781_12,CI26905
17781_13,CI26218
17782_11,CI25295
17782_12,CI24081
17782_13,CI23839
17784_11,CI27043
17784_12,CI27039
17784_13,CI27040
17787_11,CI25497
17787_12,CI26522
17787_13,CI25821
17791_11,CI26214
17791_12,CI26220
17791_13,CI26215
17800_11,CI26875
17800_12,CI26876
17800_13,CI26872
17802_11,CI26926
17802_12,CI26930
17802_13,CI26927
17818_11,CI28581
17818_12,CI28586
17818_13,CI28585
17820_11,CI23714
17820_12,CI25124
17820_13,CI24958
17826_11,CI26923
17826_12,CI26922
17826_13,CI26921
17827_11,CI25126
17827_12,CI25124
17827_13,CI23848
17829_11,CI23714
17829_12,CI23855
17829_13,CI24958
17831_11,CI24534
17831_12,CI25075
17831_13,CI24527
17836_11,CI26216
17836_12,CI26213
17836_13,CI26214
17839_11,CI26870
17839_12,CI26869
17839_13,CI26866
17840_11,CI26216
17840_12,CI26215
17840_13,CI26910
17847_11,CI26926
17847_12,CI26927
17847_13,CI26918
17849_11,CI24997
17849_12,CI24996
17849_13,CI23770
17851_11,CI23663
17851_12,CI23691
17851_13,CI24866
17852_11,CI24968
17852_12,CI25126
17852_13,CI26051
17856_11,CI26216
17856_12,CI26910
17856_13,CI26215
17859_11,CI23714
17859_12,CI23839
17859_13,CI25126
17864_11,CI23769
17864_12,CI24875
17864_13,CI24876
17865_11,CI23663
17865_12,CI26051
17865_13,CI24530
17869_11,CI28122
17869_12,CI28123
17869_13,CI28124
17870_11,CI26931
17870_12,CI26929
17870_13,CI26924
17877_11,CI24992
17877_12,CI24968
17877_13,CI24951
17880_11,CI24171
17880_12,CI24169
17880_13,CI23838
17883_11,CI25075
17883_12,CI23546
17883_13,CI24876
17887_11,CI27044
17887_12,CI27045
17887_13,CI27042
17888_11,CI24958
17888_12,CI23855
17888_13,CI25135
17891_11,CI25124
17891_12,CI23663
17891_13,CI23855
17894_11,CI28585
17894_12,CI28586
17894_13,CI28581
17895_11,CI26214
17895_12,CI26904
17895_13,CI26213
17898_11,CI24943
17898_12,CI24944
17898_13,CI24970
17901_11,CI23648
17901_12,CI23691
17901_13,CI24532
17904_11,CI24958
17904_12,CI24876
17904_13,CI24187
17905_11,CI26051
17905_12,CI23714
17905_13,CI25135
17908_11,CI26219
17908_12,CI26221
17908_13,CI26220
17911_11,CI24958
17911_12,CI25124
17911_13,CI23714
17912_11,CI24937
17912_12,CI24922
17912_13,CI24926
17916_11,CI23691
17916_12,CI24690
17916_13,CI24228
17917_11,CI26213
17917_12,CI26214
17917_13,CI26217
17925_11,CI25177
17925_12,CI25135
17925_13,CI25139
17927_11,CI25126
17927_12,CI24958
17927_13,CI24187
17929_11,CI23769
17929_12,CI24876
17929_13,CI24958
17941_11,CI26902
17941_12,CI26214
17941_13,CI26213
17942_11,CI24081
17942_12,CI25295
17942_13,CI24257
17944_11,CI28582
17944_12,CI28581
17944_13,CI28579
17945_11,CI24421
17945_12,CI25074
17945_13,CI24418
17947_11,CI28573
17947_12,CI23855
17947_13,CI25126
17948_11,CI27040
17948_12,CI27045
17948_13,CI27042
17949_11,CI27675
17949_12,CI27681
17949_13,CI27674
17954_11,CI24440
17954_12,CI24421
17954_13,CI25108
17955_11,CI26221
17955_12,CI26217
17955_13,CI26214
17957_11,CI26215
17957_12,CI26212
17957_13,CI26902
17962_11,CI26907
17962_12,CI26218
17962_13,CI26217
17963_11,CI25075
17963_12,CI24184
17963_13,CI24532
17965_11,CI25075
17965_12,CI24875
17965_13,CI23702
17972_11,CI25438
17972_12,CI23714
17972_13,CI25437
17974_11,CI24421
17974_12,CI24440
17974_13,CI24138
17977_11,CI24530
17977_12,CI24534
17977_13,CI23714
17979_11,CI23702
17979_12,CI23691
17979_13,CI24958
17981_11,CI26217
17981_12,CI26904
17981_13,CI26216
17983_11,CI24876
17983_12,CI24690
17983_13,CI24875
17986_11,CI24937
17986_12,CI25052
17986_13,CI24929
17987_11,CI23663
17987_12,CI23714
17987_13,CI24958
17994_11,CI26051
17994_12,CI25126
17994_13,CI23714
17996_11,CI23855
17996_12,CI23933
17996_13,CI26050
17999_11,CI23714
17999_12,CI25126
17999_13,CI26051
18001_11,CI26218
18001_12,CI26220
18001_13,CI26215
18002_11,CI26910
18002_12,CI26905
18002_13,CI26218
18006_11,CI24532
18006_12,CI24184
18006_13,CI24876
18007_11,CI26902
18007_12,CI26215
18007_13,CI26904
18009_11,CI26173
18009_12,CI26170
18009_13,CI26168
18014_11,CI26215
18014_12,CI26214
18014_13,CI26904
18019_11,CI26930
18019_12,CI26927
18019_13,CI26916
18022_11,CI23663
18022_12,CI24958
18022_13,CI23855
18029_11,CI24228
18029_12,CI24534
18029_13,CI24532
18032_11,CI23714
18032_12,CI24530
18032_13,CI24917
18034_11,CI26214
18034_12,CI26221
18034_13,CI26220
18036_11,CI23878
18036_12,CI24968
18036_13,CI26050
18037_11,CI25075
18037_12,CI23663
18037_13,CI24530
18038_11,CI25126
18038_12,CI23714
18038_13,CI24958
18041_11,CI23663
18041_12,CI24953
18041_13,CI23648
18043_11,CI24958
18043_12,CI25135
18043_13,CI23714
18045_11,CI25140
18045_12,CI25075
18045_13,CI25124
18048_11,CI26907
18048_12,CI26218
18048_13,CI26217
18053_11,CI27680
18053_12,CI27674
18053_13,CI27652
18055_11,CI26215
18055_12,CI26214
18055_13,CI26904
18056_11,CI26908
18056_12,CI26909
18056_13,CI26913
18059_11,CI24954
18059_12,CI24952
18059_13,CI24958
18069_11,CI24958
18069_12,CI23714
18069_13,CI23855
18072_11,CI23869
18072_12,CI24037
18072_13,CI24035
18076_11,CI24534
18076_12,CI25075
18076_13,CI24527
18078_11,CI27040
18078_12,CI27045
18078_13,CI27042
18080_11,CI24958
18080_12,CI23663
18080_13,CI24527
18081_11,CI25126
18081_12,CI23714
18081_13,CI23691
18084_11,CI24876
18084_12,CI25075
18084_13,CI24532
18086_11,CI23691
18086_12,CI24958
18086_13,CI24530
18095_11,CI26902
18095_12,CI26215
18095_13,CI26214
18096_11,CI23714
18096_12,CI24958
18096_13,CI23848
18097_11,CI24876
18097_12,CI24868
18097_13,CI24953
18102_11,CI26910
18102_12,CI26905
18102_13,CI26913
18103_11,CI27807
18103_12,CI27806
18103_13,CI27809
18104_11,CI27807
18104_12,CI27806
18104_13,CI27809
18106_11,CI27045
18106_12,CI27040
18106_13,CI27047
18108_11,CI27805
18108_12,CI27802
18108_13,CI27650
18109_11,CI28582
18109_12,CI28579
18109_13,CI28578
18112_11,CI26910
18112_12,CI26907
18112_13,CI26908
18113_11,CI23714
18113_12,CI23855
18113_13,CI24953
18120_11,CI26872
18120_12,CI26874
18120_13,CI26875
18122_11,CI27666
18122_12,CI27671
18122_13,CI27673
18123_11,CI27799
18123_12,CI27791
18123_13,CI27807
18127_11,CI24958
18127_12,CI23691
18127_13,CI23663
18133_11,CI26219
18133_12,CI26220
18133_13,CI26217
18135_11,CI27799
18135_12,CI27791
18135_13,CI27807
18139_11,CI24527
18139_12,CI24530
18139_13,CI23714
18140_11,CI26903
18140_12,CI26910
18140_13,CI26905
18143_11,CI26932
18143_12,CI26933
18143_13,CI26928
18145_11,CI27681
18145_12,CI27677
18145_13,CI27680
18147_11,CI26910
18147_12,CI26907
18147_13,CI26905
18153_11,CI27798
18153_12,CI27799
18153_13,CI27789
18154_11,CI25135
18154_12,CI23663
18154_13,CI23975
18158_11,CI27807
18158_12,CI27809
18158_13,CI27811
18159_11,CI27037
18159_12,CI27039
18159_13,CI27043
18160_11,CI26927
18160_12,CI26933
18160_13,CI26937
18166_11,CI23714
18166_12,CI23663
18166_13,CI24958
18168_11,CI26218
18168_12,CI26216
